STK_D_Code,STK_D_SWCode
1,YH
2,FDC
4,YYSW
5,FDC
6,CJ
7,XXFW
8,YSJS
9,ZH
10,JZZS
11,FDC
12,JZCL
14,FDC
16,JYDQ
17,QC
18,FDC
19,SPYL
20,DZ
21,JSJ
22,JTYS
23,JZCL
25,QC
26,QGZZ
27,GYSY
28,YYSW
29,FDC
30,QC
31,FDC
32,TX
33,XXFW
34,NLMY
35,GYSY
36,FDC
37,GYSY
38,FDC
39,JXSB
40,FDC
42,FDC
43,FDC
45,DZ
46,FDC
48,NLMY
49,DZ
50,DZ
55,JZZS
56,FDC
58,SYMY
59,HG
60,YSJS
61,SYMY
62,SYMY
63,TX
65,JZZS
66,JSJ
68,ZH
69,FDC
70,TX
78,YYSW
88,JTYS
89,JTYS
90,FDC
96,HG
99,JTYS
100,JYDQ
150,YYSW
151,SYMY
153,YYSW
155,HG
156,CM
157,JXSB
158,FZFZ
159,CJ
166,FYJR
301,GYSY
333,JYDQ
338,QC
400,DQSB
401,JZCL
402,FDC
403,YYSW
404,JYDQ
407,HG
408,SYMY
409,CJ
410,JXSB
411,YYSW
413,DZ
415,FYJR
416,SYMY
417,SYMY
418,JYDQ
419,SYMY
420,HG
421,ZH
422,HG
423,YYSW
425,JXSB
426,YSJS
428,XXFW
429,JTYS
430,XXFW
488,QGZZ
498,JZZS
501,SYMY
502,FDC
503,CM
504,CM
505,FDC
506,YSJS
507,JTYS
509,JZCL
510,HG
511,YSJS
513,YYSW
514,FDC
516,SYMY
517,FDC
518,YYSW
519,YSJS
520,JTYS
521,JYDQ
523,HG
524,XXFW
525,HG
526,FDC
528,JXSB
529,ZH
530,JXSB
531,GYSY
532,DZ
533,JYDQ
534,FDC
536,DZ
537,FDC
538,YYSW
539,GYSY
540,FDC
541,DZ
543,GYSY
544,GYSY
545,HG
546,JZCL
547,TX
548,JTYS
550,QC
551,JXSB
552,CJ
553,HG
554,HG
555,JSJ
557,SPYL
558,FDC
559,QC
560,SYMY
561,TX
563,FYJR
564,SYMY
565,HG
566,YYSW
567,FDC
568,SPYL
570,JXSB
571,CJ
572,QC
573,FDC
576,QGZZ
581,QC
582,JTYS
584,HG
585,DQSB
586,TX
587,QGZZ
589,HG
590,YYSW
591,YYSW
592,NLMY
593,GYSY
595,JXSB
596,SPYL
597,YYSW
598,GYSY
599,HG
600,GYSY
601,GYSY
603,YSJS
605,GYSY
606,YYSW
607,CM
608,FDC
609,FDC
610,XXFW
611,ZH
612,YSJS
613,XXFW
615,HG
616,FDC
617,JXSB
619,JZCL
620,FDC
622,QC
623,YYSW
625,QC
626,SYMY
627,HG
628,ZH
629,CJ
630,YSJS
631,FDC
632,ZH
633,YSJS
635,HG
636,DZ
637,HG
638,FDC
639,NLMY
650,YYSW
651,JYDQ
652,ZH
655,CJ
656,FDC
657,YSJS
659,QGZZ
661,YYSW
662,HG
663,NLMY
665,CM
666,FYJR
667,FDC
668,FDC
669,GYSY
670,DZ
671,FDC
672,JZCL
673,CM
676,JXSB
677,HG
678,QC
679,FDC
680,JXSB
681,CM
682,DQSB
683,HG
685,GYSY
686,FYJR
687,HG
688,YSJS
690,GYSY
691,FDC
692,GYSY
693,YSJS
695,GYSY
697,YSJS
698,HG
700,QC
701,DZ
702,NLMY
703,HG
705,YYSW
707,HG
708,GT
709,GT
710,QC
711,ZH
712,FYJR
713,NLMY
715,SYMY
716,SPYL
717,GT
718,FDC
719,CM
720,GYSY
721,XXFW
722,GYSY
723,CJ
725,DZ
726,FZFZ
727,DZ
728,FYJR
729,SPYL
731,HG
732,FDC
733,DZ
735,NLMY
736,FDC
737,HG
738,GFJG
739,YYSW
748,JSJ
750,FYJR
751,YSJS
752,SPYL
753,QC
755,HG
756,YYSW
757,QC
758,YSJS
759,SYMY
760,QC
761,GT
762,CJ
766,YYSW
767,GYSY
768,GFJG
776,FYJR
777,JXSB
778,GT
779,FZFZ
780,CJ
782,HG
783,FYJR
785,SYMY
786,JZCL
788,YYSW
789,JZCL
790,YYSW
